student_id,exam_type,exam_date,Diagnosis: Cardiovascular,Diagnosis: Endocrine,Diagnosis: GI,Diagnosis: Neuro,Diagnosis: Renal,Foundation: Cardiovascular,Foundation: Endocrine,Foundation: GI,Foundation: Neuro,Foundation: Renal,Management: Endocrine,Management: GI,Management: Neuro,Management: Renal,Prevention: Cardiovascular,Prevention: Endocrine,Prevention: GI,Prevention: Neuro,Prevention: Renal,Management: Cardiovascular
S0001,CAS Proctored,2022-11-15,66.7,50,75,100,50,16.7,100,75,100,100,66.7,100,0,50,66.7,50,50,66.7,25,NA
S0001,CAS Proctored,2023-03-15,100,33.3,100,0,100,83.3,100,0,75,75,50,100,66.7,40,100,66.7,100,66.7,100,50
S0001,CBSE,2021-10-15,100,66.7,66.7,50,0,100,42.9,50,75,100,50,66.7,100,100,33.3,66.7,33.3,0,100,100
S0001,CBSE,2022-02-10,83.3,100,50,100,66.7,NA,0,100,50,100,0,50,100,50,100,100,100,0,50,66.7
S0001,CBSSA,2022-04-20,50,100,83.3,80,0,87.5,66.7,50,85.7,50,NA,100,100,66.7,33.3,50,100,100,100,75
S0001,CBSSA,2022-05-25,33.3,0,100,60,100,100,0,66.7,40,50,100,83.3,NA,80,100,25,66.7,100,33.3,0
S0001,CCSE,2023-01-20,100,100,100,50,50,100,85.7,57.1,100,40,0,83.3,50,50,100,NA,75,100,75,60
S0001,CCSE,2023-05-01,100,85.7,75,100,NA,NA,NA,100,75,75,25,100,100,50,50,75,0,NA,66.7,33.3
S0001,CCSSA,2023-06-01,100,75,100,66.7,57.1,83.3,50,0,66.7,100,60,50,50,100,66.7,100,0,100,75,33.3
S0001,CCSSA,2023-06-25,NA,0,62.5,50,80,60,50,100,0,50,60,100,66.7,100,60,100,50,66.7,75,NA
S0001,Family Medicine,2022-08-15,66.7,80,100,33.3,100,50,33.3,40,100,100,33.3,0,66.7,66.7,100,100,50,100,0,100
S0001,Internal Medicine,2022-10-10,20,75,NA,66.7,0,100,0,100,57.1,50,50,66.7,100,100,NA,0,40,75,66.7,33.3
S0001,ObGyn,2023-03-20,50,100,100,50,100,83.3,33.3,100,66.7,75,33.3,100,66.7,100,50,50,50,66.7,50,100
S0001,Surgery,2023-01-10,60,50,50,NA,83.3,40,100,0,NA,100,100,50,100,75,80,66.7,42.9,100,NA,33.3
S0002,CAS Proctored,2022-11-15,50,75,50,100,100,100,100,66.7,100,100,66.7,0,0,60,100,80,50,100,75,50
S0002,CAS Proctored,2023-03-15,100,NA,75,60,0,33.3,NA,100,NA,66.7,50,50,75,100,66.7,100,75,100,60,80
S0002,CBSE,2021-10-15,33.3,0,100,100,50,66.7,100,50,33.3,66.7,40,100,75,50,100,75,100,0,25,33.3
S0002,CBSE,2022-02-10,0,0,66.7,50,66.7,100,40,100,100,50,75,100,75,33.3,50,80,100,75,100,50
S0002,CBSSA,2022-04-20,100,100,100,50,100,50,50,33.3,50,60,50,NA,66.7,66.7,60,60,0,50,100,50
S0002,CBSSA,2022-05-25,50,50,0,100,75,40,100,80,NA,75,75,100,66.7,100,50,80,50,100,66.7,100
S0002,CCSE,2023-01-20,50,100,NA,100,66.7,100,50,100,42.9,50,75,50,NA,75,75,100,66.7,0,50,75
S0002,CCSE,2023-05-01,66.7,NA,100,33.3,80,80,75,66.7,100,100,66.7,80,NA,100,50,0,100,100,100,100
S0002,CCSSA,2023-06-01,0,100,50,66.7,20,75,71.4,66.7,NA,50,75,50,NA,75,75,33.3,0,100,75,33.3
S0002,CCSSA,2023-06-25,50,75,33.3,66.7,40,100,33.3,50,0,50,0,100,100,100,100,80,83.3,NA,0,100
S0002,Family Medicine,2022-08-15,50,80,50,50,60,42.9,NA,NA,0,66.7,100,80,66.7,100,50,33.3,25,NA,75,33.3
S0002,Internal Medicine,2022-10-10,33.3,50,57.1,100,33.3,100,66.7,0,100,75,62.5,100,100,100,100,75,57.1,100,100,NA
S0002,ObGyn,2023-03-20,60,66.7,100,100,100,75,100,80,66.7,NA,NA,50,87.5,100,50,NA,75,0,75,60
S0002,Surgery,2023-01-10,100,100,75,42.9,100,75,66.7,60,66.7,100,50,100,100,100,100,50,50,75,NA,80
S0003,CAS Proctored,2022-11-15,40,66.7,100,100,0,100,50,100,100,100,66.7,75,50,100,0,100,70,66.7,100,66.7
S0003,CAS Proctored,2023-03-15,33.3,100,NA,0,100,60,0,33.3,100,66.7,100,50,50,85.7,100,37.5,0,100,33.3,100
S0003,CBSE,2021-10-15,NA,50,50,100,100,80,100,75,100,0,100,100,100,100,60,50,100,66.7,100,60
S0003,CBSE,2022-02-10,0,100,0,75,33.3,50,50,100,50,66.7,66.7,66.7,100,66.7,100,100,60,100,50,100
S0003,CBSSA,2022-04-20,50,50,75,75,50,100,100,0,66.7,50,50,66.7,75,0,100,66.7,NA,75,66.7,83.3
S0003,CBSSA,2022-05-25,66.7,16.7,0,66.7,0,50,33.3,50,85.7,100,50,33.3,33.3,50,50,100,100,100,50,0
S0003,CCSE,2023-01-20,57.1,NA,0,100,NA,62.5,50,66.7,0,0,100,75,100,60,50,50,71.4,75,100,100
S0003,CCSE,2023-05-01,100,40,NA,0,50,66.7,100,85.7,NA,100,50,0,NA,0,50,100,33.3,100,100,100
S0003,CCSSA,2023-06-01,60,60,100,60,50,50,75,50,NA,NA,50,75,66.7,100,100,75,75,50,100,62.5
S0003,CCSSA,2023-06-25,66.7,100,60,50,100,50,100,50,100,80,50,100,50,40,100,33.3,100,80,16.7,25
S0003,Family Medicine,2022-08-15,100,100,0,50,66.7,100,66.7,100,60,75,100,100,100,0,NA,66.7,100,66.7,33.3,60
S0003,Internal Medicine,2022-10-10,75,33.3,50,50,50,100,100,100,0,50,0,83.3,100,0,66.7,0,50,75,0,66.7
S0003,ObGyn,2023-03-20,66.7,100,100,33.3,83.3,100,75,66.7,60,50,50,100,50,100,66.7,50,100,100,0,0
S0003,Surgery,2023-01-10,83.3,50,100,50,75,NA,80,50,100,80,25,20,50,25,0,66.7,50,100,100,33.3
S0004,CAS Proctored,2022-11-15,60,100,100,50,50,33.3,100,40,100,50,100,100,85.7,100,50,50,50,NA,33.3,50
S0004,CAS Proctored,2023-03-15,75,75,100,100,100,60,100,75,NA,33.3,100,50,66.7,100,75,75,60,50,100,75
S0004,CBSE,2021-10-15,75,0,50,50,75,66.7,25,66.7,100,100,80,NA,83.3,50,50,66.7,0,100,100,66.7
S0004,CBSE,2022-02-10,75,0,100,66.7,33.3,25,100,33.3,33.3,33.3,100,75,66.7,66.7,0,50,60,50,100,33.3
S0004,CBSSA,2022-04-20,50,NA,33.3,66.7,NA,100,100,100,66.7,0,100,75,66.7,100,50,33.3,33.3,60,50,50
S0004,CBSSA,2022-05-25,100,50,50,66.7,50,33.3,80,80,100,100,66.7,50,100,100,NA,0,50,100,75,50
S0004,CCSE,2023-01-20,0,100,100,50,100,50,100,100,33.3,66.7,75,100,100,100,75,100,66.7,50,42.9,83.3
S0004,CCSE,2023-05-01,100,0,100,100,0,50,66.7,100,50,0,75,75,100,66.7,66.7,66.7,75,16.7,100,100
S0004,CCSSA,2023-06-01,33.3,100,100,75,50,50,100,60,33.3,83.3,50,50,100,50,33.3,100,25,100,0,0
S0004,CCSSA,2023-06-25,0,100,50,80,100,50,NA,50,33.3,66.7,50,80,50,100,100,100,100,60,75,40
S0004,Family Medicine,2022-08-15,100,75,42.9,33.3,33.3,100,60,100,28.6,0,50,33.3,100,75,0,50,33.3,NA,66.7,66.7
S0004,Internal Medicine,2022-10-10,50,25,25,50,60,0,50,100,0,100,100,0,50,25,100,75,33.3,100,33.3,80
S0004,ObGyn,2023-03-20,75,50,66.7,100,80,100,33.3,60,0,40,66.7,66.7,40,NA,NA,66.7,100,75,50,100
S0004,Surgery,2023-01-10,66.7,80,100,75,25,100,0,75,0,66.7,50,0,50,75,66.7,66.7,100,28.6,33.3,50
